Producto,Descripción,Precio ,Foto menú (link),,Calidad de la foto
Hamburguesas,,,,,
Clasica SIMPLE,"medallón de carne (90g), tomate, lechuga, cheddar, bacon y
aderezo de la casa. Acompañamiento: Papas fritas con lactonesa.", $  15.500 ,Classic Burguer.png,,
Clasica DOBLE,, $  16.500 ,,,Muy buena
Clasica TRIPLE,, $  17.500 ,,,
Chesse burger DOBLE,"Medallones de 90g, doble cheddar y lactonesa clásica en pan brioche
de papa. Acompañamiento: Papas fritas y barbacoa clásica.", $  15.500 ,Cheese Burguer.png,,Muy buena
Chesse burger TRIPLE,, $  16.500 ,,,
Bacon burger DOBLE,"Medallones de 90g, doble cheddar, bacon ahumado crujiente, cebolla
caramelizada y salsa barbacoa con miel en pan brioche de papa. Acompañamiento: Papas
fritas con cheddar y ají.", $  16.500 ,Bacon burguer.png,burguer bacon.jpg,Muy buena
Bacon burger TRIPLE,, $  17.500 ,,,
Porte american burger,"Dos medallones de 90g, lechuga, cheddar, aros de cebolla, salsa
especial (mostaza, kétchup, mayonesa, pepinillos) en pan brioche en tres capas.
Acompañamiento: Papas fritas.", $  16.500 ,Porte burguer.jpg,,Muy buena
Golden four chesse,"Dos medallones de 90g con una combinación de provoleta, cheddar,
azul y fontina, acompañados de pimientos asados en pan brioche tostado con manteca.
Acompañamiento: Papas fritas con mayonesa worcester.", $  16.500 ,21 de enero-GoldenCheeseBurguer_2.png,21 de enero-GoldenCheeseBurguer_1.png,Muy buena
La waranga,"Dos medallones de 90g con cheddar combinado con cebolla morada y 90 g de
vacío desmenuzado con salsa ranch.", $  16.500 ,20250716_145933.jpg,,Muy buena
Portobello y Fontina,"Hongos portobello grillados, queso fontina derretido, rúcula y cebolla
caramelizada en pan brioche tostado. Acompañamiento: Papas fritas con mayonesa
worcester.", $  16.000 ,burguer porto bello.jpg,,Muy mala
La provo,"Medallón de Provolone, chédar, cebolla caramelizada y mix de pimientos, huevo
a la plancha, en pan brioche tostado con aderezo de la casa. Acompañamiento: Papas fritas", $  15.500 ,20250716_153115(0).jpg,,Buena
Tablas y milanesas,,,,,
Tabla crunch,"Papas fritas, nuggets de pollo, aros de cebolla, mozzarella sticks,
rabas, trufas de roquefort y espinaca, aceitunas marinadas. Salsas: Alioli de
limón, barbacoa casera.", $  45.000 ,Tabla Crunch.png,,Muy buena
Tabla Mila Hub,"Selección de cuatro milanesas servidas sobre tabla.
Napolitana clásica; Cuatro quesos; Cheddar y panceta y A caballo.
Acompañamiento: Papas fritas", $  53.000 ,_DSC9164-6.jpg,,Muy buena
Milanesa clasica,"Milanesa de ternera crujiente y dorada, servida con una
guarnición a elección: papas fritas o ensalada. El clásico que nunca falla,
perfecto para cualquier momento del día.", $  16.500 ,IMG_6149.jpg,,Zafable
Milanesa napolitana,"Milanesa de ternera jugosa cubierta con salsa de
tomate, mozzarella, jamón y una pizca de orégano, acompañada de papas
fritas. Un plato lleno de sabor y tradición.", $  18.000 ,Milanesa Napolitana,Milanesa Napolitana,Zafable
Sandwich de milanesa,"Milanesa de ternera crujiente en pan con lechuga,
tomate, huevo, jamón, queso y lactonesa casera.
Acompañado de papas fritas crocantes para un combo irresistible.", $  19.000 ,IMG_5288.jpg,,Mala
